pref_code,month,ICN,GMP,PUS,CJU
42,9,254.2,784.1,305.9,313.3
5,9,409.4,743.0,658.8,727.0
33,9,257.6,375.4,356.3,373.7
40,9,236.1,706.7,210.7,315.6
21,9,322.7,320.7,303.5,423.2
2,9,296.9,871.0,524.6,850.1
27,9,281.4,291.0,271.9,289.3
20,9,418.0,467.8,478.6,508.1
44,9,268.1,613.2,297.1,304.5
24,9,293.6,291.6,274.4,371.6
34,9,282.8,508.1,285.3,449.3
1,9,339.2,1124.8,336.6,1102.5
28,9,261.2,282.6,263.5,280.9
12,9,311.8,309.6,298.0,317.2
16,9,336.3,468.5,451.3,559.6
13,9,298.5,296.4,331.4,350.6
11,9,317.1,315.0,335.3,354.5
35,9,288.5,600.3,322.2,381.4
7,9,343.9,530.7,488.3,507.6
17,9,286.7,454.7,437.5,522.5
18,9,297.0,405.2,388.0,453.6
38,9,248.4,489.9,224.5,430.7
29,9,309.7,313.8,294.7,312.1
32,9,255.3,483.9,404.0,482.2
3,9,407.1,755.9,638.4,729.8
31,9,329.1,403.5,384.4,401.8
36,9,260.4,327.4,308.3,325.7
46,9,276.6,793.5,358.3,365.7
15,9,283.2,548.9,534.5,553.7
39,9,324.5,437.7,300.6,436.0
45,9,252.3,705.1,329.6,337.0
14,9,298.0,295.9,344.2,363.4
26,10,318.6,333.6,314.5,331.9
41,10,245.6,727.8,246.9,726.1
43,10,250.7,707.6,225.4,705.9
37,10,262.0,363.3,344.2,361.6
23,10,299.9,298.0,280.7,424.3
9,10,383.8,391.9,367.4,386.7
19,10,374.6,389.5,412.4,451.8
25,10,325.6,338.6,319.5,336.9
10,10,394.8,392.7,405.8,425.1
4,10,300.3,595.9,549.2,568.4
22,10,298.9,405.5,388.3,489.1
8,10,348.2,384.8,331.8,351.0
47,10,289.1,1418.6,270.2,256.3
6,10,335.1,582.1,542.7,562.0
30,10,278.0,276.1,257.1,274.4
42,10,254.2,784.1,229.5,782.4
5,10,409.4,743.0,658.8,680.6
33,10,257.6,375.4,356.3,373.7
40,10,236.1,706.7,210.7,705.0
21,10,322.7,320.7,303.5,423.2
2,10,296.9,871.0,524.6,546.5
27,10,281.4,291.0,271.9,289.3
20,10,350.4,467.8,335.7,508.1
44,10,268.1,613.2,297.1,611.5
24,10,293.6,291.6,274.4,371.6
34,10,282.8,508.1,285.3,506.4
1,10,339.2,1124.8,336.6,358.4
28,10,261.2,282.6,263.5,280.9
12,10,311.8,309.6,298.0,317.2
16,10,267.4,468.5,252.7,559.6
13,10,298.5,296.4,331.4,350.6
11,10,317.1,315.0,335.3,354.5
35,10,267.5,600.3,322.2,598.6
7,10,343.9,530.7,488.3,507.6
17,10,286.7,454.7,297.5,522.5
18,10,297.0,405.2,355.1,453.6
38,10,248.4,489.9,224.5,488.2
29,10,309.7,313.8,294.7,312.1
32,10,255.3,483.9,404.0,482.2
3,10,407.1,755.9,638.4,660.2
31,10,329.1,403.5,384.4,401.8
36,10,260.4,327.4,308.3,325.7
46,10,276.6,793.5,358.3,791.8
15,10,283.2,548.9,461.1,553.7
39,10,324.5,437.7,300.6,436.0
45,10,252.3,705.1,329.6,703.4
14,10,298.0,295.9,344.2,363.4
26,11,318.6,333.6,314.5,331.9
41,11,245.6,727.8,246.9,510.7
43,11,250.7,707.6,225.4,507.4
37,11,262.0,363.3,344.2,303.2
23,11,299.9,298.0,280.7,424.3
9,11,347.7,391.9,367.4,386.7
19,11,374.6,389.5,427.3,451.8
25,11,325.6,338.6,319.5,336.9
10,11,394.8,392.7,405.8,425.1
4,11,300.3,595.9,549.2,568.4
22,11,298.9,405.5,388.3,489.1
8,11,301.8,384.8,331.8,351.0
47,11,289.1,1418.6,270.2,1278.2
6,11,335.1,582.1,542.7,562.0
30,11,278.0,276.1,257.1,274.4
42,11,254.2,784.1,305.9,574.1
5,11,409.4,743.0,658.8,727.0
33,11,257.6,375.4,356.3,331.5
40,11,236.1,706.7,210.7,483.4
21,11,322.7,320.7,303.5,423.2
2,11,296.9,871.0,524.6,850.1
27,11,281.4,291.0,271.9,289.3
20,11,350.4,467.8,478.6,508.1
44,11,268.1,613.2,297.1,414.8
24,11,293.6,291.6,274.4,371.6
34,11,282.8,508.1,285.3,277.5
1,11,339.2,1124.8,336.6,1102.5
28,11,261.2,282.6,263.5,280.9
12,11,311.8,309.6,298.0,317.2
16,11,267.4,468.5,451.3,559.6
13,11,298.5,296.4,331.4,350.6
11,11,317.1,315.0,335.3,354.5
35,11,288.5,600.3,322.2,371.0
7,11,343.9,530.7,488.3,507.6
17,11,286.7,454.7,437.5,522.5
18,11,297.0,405.2,388.0,453.6
38,11,248.4,489.9,224.5,302.7
29,11,309.7,313.8,294.7,312.1
32,11,255.3,483.9,404.0,350.9
3,11,407.1,755.9,638.4,729.8
31,11,329.1,403.5,384.4,401.8
36,11,260.4,327.4,308.3,255.1
46,11,276.6,793.5,358.3,623.3
15,11,283.2,548.9,534.5,553.7
39,11,324.5,437.7,300.6,347.7
45,11,252.3,705.1,329.6,548.4
14,11,298.0,295.9,344.2,363.4
26,12,318.6,333.6,314.5,331.9
41,12,245.6,727.8,246.9,257.5
43,12,250.7,707.6,225.4,310.1
37,12,262.0,363.3,344.2,338.8
23,12,299.9,298.0,280.7,424.3
9,12,347.7,391.9,367.4,386.7
19,12,374.6,389.5,427.3,451.8
25,12,325.6,338.6,319.5,336.9
10,12,394.8,392.7,405.8,425.1
4,12,300.3,595.9,549.2,568.4
22,12,298.9,405.5,388.3,489.1
8,12,301.8,384.8,331.8,351.0
47,12,289.1,1418.6,270.2,1079.7
6,12,335.1,582.1,542.7,562.0
30,12,278.0,276.1,257.1,274.4
42,12,254.2,784.1,305.9,325.4
5,12,409.4,743.0,658.8,727.0
33,12,257.6,375.4,356.3,331.5
40,12,236.1,706.7,210.7,221.3
21,12,322.7,320.7,303.5,423.2
2,12,296.9,871.0,524.6,850.1
27,12,281.4,291.0,271.9,289.3
20,12,418.0,467.8,478.6,508.1
44,12,268.1,613.2,297.1,332.1
