pref_code,month,min_minutes,best_dep,best_arr,n_reachable,gravity,foreign_total,korea,korea_uncertain,pref_ja,pref_en,capital,lat,lon,korea_share,log_foreign,korea_share_pred,korea_share_resid,korea_share_ratio,korea_pred,korea_resid,korea_ratio
22,8,298.85565840783164,ICN,FSZ,1,3.739347894867578,152530.0,10250.0,False,静岡県,Shizuoka Ken,静岡市,34.9769,138.3831,0.0671998951026027,11.935116576993979,0.07754344982348851,-0.14316673558680693,0.866609562194734,10988.395615945903,-0.06956206636394668,0.9328022359447664
22,9,298.85565840783164,ICN,FSZ,1,3.6252828154856687,130080.0,11760.0,False,静岡県,Shizuoka Ken,静岡市,34.9769,138.3831,0.0904059040590405,11.775904924781637,0.09040704465241398,-1.2616279769783745e-05,0.9999873837998151,11062.794317511989,0.061116327517503066,1.0630225657711407
22,10,298.85565840783164,ICN,FSZ,1,3.8354521344792,190000.0,21510.0,False,静岡県,Shizuoka Ken,静岡市,34.9769,138.3831,0.1132105263157894,12.154779351142624,0.09306841583539961,0.19591427326482513,1.2164226209245144,16686.28772086139,0.2539306556989054,1.2890824106495513
22,11,298.85565840783164,ICN,FSZ,1,3.708515736840301,168770.0,16270.0,False,静岡県,Shizuoka Ken,静岡市,34.9769,138.3831,0.0964033892279433,12.03629212023053,0.08431123930964043,0.13402617769987257,1.1434227514304869,13471.549964388545,0.18874286954513764,1.2077303682953355
22,12,298.85565840783164,ICN,FSZ,1,3.825358360730359,128230.0,17910.0,False,静岡県,Shizuoka Ken,静岡市,34.9769,138.3831,0.1396709038446541,11.761580805453162,0.095639441916743,0.3787036612600798,1.4603902014217296,11778.063275959139,0.4191204591789415,1.5206235168185158
23,1,280.7425272178259,PUS,NGO,1,7.106897901475686,402970.0,51980.0,False,愛知県,Aichi Ken,名古屋市,35.1802,136.9066,0.1289922326724073,12.906617396470555,0.13514027003190765,-0.046561085579152284,0.9545062522218674,48395.709085499235,0.07144787467914782,1.074062163407266
23,2,280.7425272178259,PUS,NGO,1,6.177148237141291,349310.0,43330.0,False,愛知県,Aichi Ken,名古屋市,35.1802,136.9066,0.1240445449600641,12.763715059071073,0.1293783850564913,-0.042100593720181045,0.9587733291453728,40301.50070051874,0.07245652926623514,1.0751460676858193
23,3,280.7425272178259,PUS,NGO,1,7.06333178132129,371260.0,36130.0,False,愛知県,Aichi Ken,名古屋市,35.1802,136.9066,0.0973172439799601,12.824657904763214,0.10605204659193732,-0.08595378083197502,0.9176366426422052,35163.14724788093,0.027124964179011002,1.0274961949595496
23,4,280.7425272178259,PUS,NGO,1,7.73247467436187,461380.0,47450.0,False,愛知県,Aichi Ken,名古屋市,35.1802,136.9066,0.1028436429840912,13.041977277445076,0.09347535637030398,0.09551197225274732,1.100221994090877,38475.91878389895,0.20964396559275222,1.2332389063014766
23,5,280.7425272178259,PUS,NGO,1,8.065054894459472,417570.0,57710.0,False,愛知県,Aichi Ken,名古屋市,35.1802,136.9066,0.1382043729195105,12.942207473889557,0.11558104585949079,0.1787615731559371,1.195735614709027,42749.294175004,0.3000777840026281,1.349963809080705
